,0
0,-362.5695302742618
1,-247.09897952153977
2,-284.4130739541278
3,-193.35963616998896
4,-455.7926480543732
5,-345.9667281940794
6,-239.0208661550019
7,-305.05934619319106
8,-346.9462288746133
9,-440.71065957944904
10,-363.00647447789163
11,-245.4082059973172
12,-134.2453902467191
13,-255.43387339727565
14,-185.99875389732173
15,-126.55285199731868
16,-151.09057835677595
17,-135.1439127295732
18,-212.65665319918108
19,-436.9353737676374
20,-109.80209660495
21,-113.73669317848524
22,-424.39475140178854
23,-379.39371279496004
24,-414.90529031472977
25,-238.20733955397452
26,-230.67752854314298
27,-377.2797238866204
28,-314.79091277023514
29,-128.69334146303257
30,-367.8252826019291
31,-311.93732928803274
32,-358.78404235967184
33,-201.20182290297345
34,-179.86503651728623
35,-177.63838873885567
36,-145.84739753240441
37,-175.84966618149164
38,-203.3023376463879
39,-192.30276784251998
40,-134.3071075498007
41,-193.69437332759594
42,-307.14604637308304
43,-363.5804774157918
44,-561.9103064706516
45,-263.34328321882913
46,-294.9840167857648
47,-392.04712906225166
48,-258.86792988420467
49,-76.35404679841744
50,-168.2083134722031
51,-322.8917223775604
52,-370.025292272401
53,-342.89997165629603
54,-337.7219840641946
55,-344.82717215126917
56,-78.36233366073266
57,-170.0615653041931
58,-163.1316490280728
59,-249.98474179428717
60,-201.5795740935728
61,-123.09999641354783
62,-107.1770486969483
63,-201.935902926331
64,-141.5187347369124
65,-118.94383811193788
66,-124.13911243618992
67,-218.714625021684
68,-238.56281813697228
69,-158.1109337482151
70,-166.02277702468018
71,-165.56562996227834
72,-185.98397512639858
73,-289.8792422779803
74,-609.7043956617333
75,-562.1335710337326
76,-1174.0592596943475
77,-592.7290512868614
78,-778.4231716371766
79,-783.7591188568663
80,-933.6032667480616
81,-895.7697518083717
82,-903.3617388475485
83,-812.166410785447
84,-1038.133484556136
85,-798.0127382661826
86,-919.231315215009
87,-1015.1032283566174
88,-36.03098117560961
89,-771.9036118503645
90,-662.2464054787987
91,-526.6500106625258
92,-463.4314995866811
93,-430.3123034207238
94,-549.7965940110014
95,-473.0346234561855
96,-532.6032422739058
97,-324.57297608990945
98,-370.0242993720501
99,-141.70556096209344
100,-366.85103511289026
101,-280.7904170662419
102,-128.53290752180007
103,-225.51461803324509
104,-211.75075198161326
105,-159.7444362186021
106,-170.89721543019206
107,-201.07702180465878
108,-333.86848729429323
109,-180.3703403071732
110,-383.7797331196891
111,-362.628795018904
112,-401.74870537618483
113,-380.79448301046125
114,-356.73428866059163
115,-341.09801408676446
116,-274.37114631906564
117,-142.5889969798011
118,-295.12677103887876
119,-331.4844086288593
120,-366.4977007227747
121,-300.4299642930686
122,-481.85480624992545
123,-487.03265255626116
124,-563.0430102453481
125,-455.31190964476593
126,-413.4103850553156
127,-443.2091469149008
128,-397.38950810736634
129,-517.3581444877966
130,-525.8367798980869
131,-564.0354705270511
132,-614.2744869480745
133,-529.6786585228509
134,-698.8417561273166
135,-702.2090392329454
136,-689.1994740769468
137,-736.4500854983726
138,-692.8924921336016
139,-799.8674979849735
140,-578.9691549290831
141,-715.1280551712169
142,-458.1277152831709
143,-574.5201794180767
144,-549.005338486809
145,-498.88484255114514
146,-527.7964221233767
147,-470.6482361771643
148,-502.7952609672047
149,-515.0141232684911
150,-379.7153687527096
151,-302.140303204555
152,-396.0633238654645
153,-361.56358802481367
154,-173.84177510739792
155,-136.52221638972767
156,-171.29217245648107
157,-224.5211123358706
158,-117.87330452950503
159,-167.36352656929694
160,-226.12072273665623
161,-311.62567214271974
162,-144.56987634915274
163,-241.9058784398984
164,-256.55187322517736
165,-162.4558784840306
166,-151.26342309188936
167,-185.03809186592818
168,-215.93271090285205
169,-263.53842380968473
170,-234.500213211479
171,-159.2526725829812
172,-348.6810369799553
173,-292.3346139366028
174,-512.4417466144158
175,-491.45974706989364
176,-603.0121627408379
177,-388.91758711618246
178,-483.66800704565816
179,-325.1333214295629
180,-392.25157720641806
181,-194.27140813040367
182,-580.2097721464272
183,-81.75679438211623
184,-452.30463455458244
185,-557.1307958817994
186,-594.0914913876346
187,-539.2308744922077
188,-531.8075865560754
189,-663.4547341198988
190,-596.6569936226242
191,-669.4871927224369
192,-597.5898197448013
193,-669.1337662917766
194,-682.5733026468376
195,-561.2507899095854
196,-662.7271556229349
197,-536.6877634345703
198,-527.5366064697738
199,-149.29565208864582
200,-193.20295847774338
201,-464.79630200370195
202,-721.8886113471098
203,-518.6548471320323
204,-504.28583470855324
205,-535.6461503013254
206,-123.07680507263895
207,-544.3236742842846
208,-451.3955093837566
209,-507.3878489295473
210,-579.5845041612693
211,-426.96339413280293
212,-701.3603355222341
213,-759.6939607304557
214,-510.51138074519343
215,-481.0945155917318
216,-309.65628029060673
217,-463.8549456391944
218,-291.6428134583845
219,-288.5257122635602
220,-331.97265112386344
221,-77.61263987098769
222,-313.93088800801286
223,-406.30453098083007
224,-110.62680322710125
225,-316.7023219751353
226,-353.4243067272957
227,-232.72466367209245
228,-379.3972464119735
229,-251.17964141844482
230,-148.77485051567047
231,-246.70757091780868
232,-165.28915346295773
233,-187.85748843747638
234,-188.33060103016646
235,-145.69225798412106
236,-268.776602960606
237,-353.67773617403867
238,-153.82813925794704
239,-375.6462848461678
240,-291.20402939465663
241,-160.40041681116077
242,-419.1356584853174
243,-432.1479572706845
244,-400.0806706379404
245,-451.81052332504026
246,-399.6281396441223
247,-383.2693834767317
248,-353.367483764375
249,-537.7006108963401
250,-262.29492172933874
251,-394.1756675935134
252,-762.8065164357217
253,-590.0283294148868
254,-141.03643176459357
255,-785.2979168739475
256,-596.7537607611649
257,-667.4680632832371
258,-380.72452133674244
259,-344.0704706563688
260,-301.353033184577
261,-338.3579692574194
262,-168.21656357136982
263,-385.3034798924283
264,-335.00918088569824
265,-304.0616177857119
266,-466.7742894111148
267,-363.75436425963795
268,-245.39699487298955
269,-522.2719061022649
270,-489.344033801224
271,-388.2860549516636
272,-433.25450782796634
273,-415.1194735493931
274,-357.6651869142853
275,-423.4358273401616
276,-212.89531324880284
277,-235.60665514381807
278,-181.29039255187087
279,-412.62143548869767
280,-271.7592797637279
281,-257.11545918798504
282,-511.81848947087
283,-565.8454904574709
284,-604.5128599610207
285,-544.5356697462186
286,-411.60822754881104
287,-155.33292370563146
288,-346.14717396926414
289,-129.80836951606898
290,-303.63286930650213
291,-292.41130013762614
292,-111.03158945298293
293,-231.53135945360296
294,-363.96115539454394
295,-305.7379476815182
296,-127.87303408266816
297,-385.88222373941534
298,-95.51601985291323
299,-162.7923486012358
300,-161.74198333611085
301,-115.59578548189988
302,-214.60160321978574
303,-230.7107834260195
304,-119.00449150715073
305,-124.91722136056785
306,-212.0689590690261
307,-144.44977163702805
308,-123.35323555882174
309,-370.51901766773926
