,0
0,37985.45741348191
1,63500.28339623242
2,85585.24617264136
3,87957.53238963516
4,74411.2055119753
5,78231.60615144458
6,66172.72744650365
7,59076.700075139364
8,52453.54139493886
9,68669.21187289739
10,74662.1812549009
11,65745.46415228567
12,50531.026753789985
13,79942.73839069785
14,75669.11605888557
15,82013.373694913
16,94951.73813923655
17,93308.45643489607
18,98276.42582485976
19,64521.52436945238
20,64282.48009138586
21,70104.41255239048
22,93765.4253420078
23,56851.04752064491
24,53222.75793893069
25,81431.53600943297
26,97929.02499968522
27,98202.70176843753
28,95782.5801509498
29,66757.06106748496
30,95905.59309344612
31,97885.61124770092
32,96088.49544289593
33,97514.58982045544
34,105471.0270329915
35,95759.81752430303
36,71649.77226284659
37,66956.96774408437
38,101988.26992223614
39,96781.05181145838
40,97535.49008247488
41,58536.0116666042
42,84430.78431673265
43,68580.70592512134
44,97354.1494426868
45,100042.15460768594
46,97458.45504421448
47,97213.52473658157
48,100123.70544724993
49,99890.279484617
50,102331.98158379502
51,97163.50257468427
52,97037.69524830653
53,97708.63881525442
54,99937.7243559604
55,58285.59167831026
56,57668.22301669067
57,64044.9672526336
58,98098.274437717
59,96577.93514883846
60,97574.87429548985
61,97032.09547602855
62,97860.28903821575
63,100419.17115288036
64,98512.17373202031
65,99878.1949510768
66,102521.160222484
67,100911.16566613583
68,101310.50183399093
69,96763.63372559426
70,65019.88704202615
71,54184.72304284705
72,47798.36078514883
73,63209.60918173138
74,95933.3459407056
75,102520.68026784153
76,101856.94061810688
77,101700.63211285746
78,97736.58494037083
79,100067.31004888182
80,97313.09893224479
81,101838.56008235429
82,72546.9811383731
83,65355.615043963604
84,101431.1066941754
85,109120.09034789988
86,99712.34466260963
87,72843.60206396766
88,106283.87852957862
89,104977.35774358531
90,73738.07989820017
91,64455.18006899382
92,55780.30570596516
93,60561.5058661554
94,98541.1878606911
95,96776.77404706378
96,97109.9365026782
97,97086.44775761818
98,97896.21373359114
99,97393.96583218101
100,97288.94662093137
101,102770.3195771441
102,99630.22329652305
103,100544.878976665
104,48772.34521153237
105,58638.00567957695
106,95487.44824566053
107,93856.89509571854
108,95596.5267074969
109,88285.44680593278
110,96925.76073342618
111,96368.76393099602
112,68094.76559056588
113,99436.96611420045
114,101910.34155793066
115,71936.10207675768
116,77085.87806916998
117,76585.4373771874
118,101248.03069839427
119,96454.35014979499
120,96423.48821332141
121,97128.6722239635
122,96919.38916822658
123,96789.03501792272
124,96602.13674312974
125,97276.9775659104
126,95398.47476293548
127,42636.48440891882
128,51084.40519527753
129,39634.050314731256
130,63819.3689498922
131,74714.24730328578
132,47624.68756401589
133,65519.46025789669
134,73552.23907052855
135,71571.2256864768
136,69851.78751207338
137,98192.67852547875
138,76824.7090514107
139,80500.05922294527
140,82563.74941392054
141,83699.60957844186
142,81122.80355387556
143,97369.65561701407
144,87079.34711058928
145,83290.83643905893
146,84680.05364222066
147,51043.28230479826
148,104518.46009853826
149,85012.27400280835
150,43922.40256196415
151,67995.23574748132
152,75727.4863461406
153,103582.83099163609
154,99031.03718364221
155,101058.14775861076
156,101639.7564161515
157,99224.63596413391
158,97625.02709508991
159,99622.3877847199
160,82247.11564845784
161,73567.16939603786
162,99528.27588940425
163,89036.49986851486
164,90056.4797954721
