,0
0,-152.22970584263672
1,-147.50594310372344
2,-157.97200182239123
3,-152.75920846546416
4,-153.44026602244193
5,-140.93097122354445
6,-149.19616950931044
7,-151.44143134990145
8,-141.37162251127145
9,-155.9610156021457
10,-137.05211292862143
11,-103.06498888729216
12,-89.75478703687097
13,-86.77260800236657
14,-94.80865062853114
15,-72.39994502010097
16,-70.40282391293738
17,-71.3222923786257
18,-90.74967006031169
19,-68.87991528896215
20,-110.17189231738256
21,-109.9303131389862
22,-103.77817537864316
23,-98.16765713327642
24,-83.99426186527998
25,-79.70510932625366
26,-83.19952679250268
27,-79.2267677311041
28,-84.63027891439944
29,-85.30965221241489
30,-78.06343654139229
31,-80.56605650348405
32,-75.6690582341259
33,-78.15662468169782
34,-89.08372564732817
35,-99.30295823576914
36,-85.15918214297119
37,-87.04098393936104
38,-83.56580572977708
39,-82.73596554713505
40,-82.5248427560552
41,-84.8632095770215
42,-76.83426272619211
43,-72.37260717319829
44,-74.52467469223697
45,-93.29240741188057
46,-88.77934945184894
47,-75.47227758580186
48,-79.5264849083353
49,-93.28847568026461
50,-79.11222760464726
51,-63.65587550008259
52,-82.03117653845034
53,-87.14527198933344
54,-103.31863809584623
55,-69.38540267188921
56,-92.56815242312591
57,-83.59420785517584
58,-86.98151793557378
59,-69.51737576255255
60,-68.53400323064145
61,-69.22101476338986
62,-74.65559435826616
63,-73.35199382208324
64,-84.94308540578962
65,-82.43914082897875
66,-112.56679269185979
67,-86.92843263479597
68,-96.52145479174533
69,-96.75151293692356
70,-92.46776950322567
71,-98.57248527241751
72,-88.34954947690125
73,-97.22581181247928
74,-76.77955033086239
75,-87.02393480270602
76,-94.08709835284165
77,-95.31860003874863
78,-84.49315112178436
79,-87.8528634096819
80,-84.2309766869151
81,-110.53175473772255
82,-87.59375486390121
83,-102.08607954089173
84,-84.49630627539153
85,-89.11793538874582
86,-83.54123888756762
87,-78.22401447954906
88,-98.17825653658124
89,-90.1443405099362
90,-78.3896963464169
91,-82.52382276305813
92,-91.90924027759517
93,-96.31881736347252
94,-97.07983436677912
95,-103.58698427131138
96,-81.21968374637407
97,-103.11359529699907
98,-92.93383566382211
99,-106.04563831750986
100,-91.36732743695777
101,-96.37272736011863
102,-103.60476443884588
103,-101.56716660750719
