,0
0,-44.39340172985317
1,-48.46745200950991
2,-44.18698533588541
3,-48.4843769300812
4,-50.22029899574523
5,-39.83712252611309
6,-43.393022099129624
7,-40.277270119601
8,-42.59156272798095
9,-43.035234818834724
10,-41.44315870911897
11,-42.97880527971725
12,-39.61659843410435
13,-46.12052458054551
14,-38.573693523922266
15,-49.97481489309342
16,-47.374408326466636
17,-42.293707408540335
18,-45.32750526089517
19,-43.71806062288377
20,-41.589450595368405
21,-34.235149476465516
22,-15.040327443838386
23,-12.217182846987235
24,-13.89315574885665
25,-18.4706376598869
26,-9.951369077623063
27,-17.167703041938513
28,-13.086303944434611
29,-16.3230479465145
30,-10.772230346296764
31,-13.130939643979232
32,-21.941161762126175
33,-13.895483357913562
34,-9.733596232950157
35,-12.29635242943742
36,-11.116424922345931
37,-11.937315532736738
38,-11.518875053783033
39,-11.706483140388409
40,-12.470051148866055
41,-13.067509441218114
42,-13.10269732219524
43,-15.858331316629064
44,-12.603833276066181
45,-15.425820764598086
46,-15.167020384561203
47,-18.627142007667786
48,-8.428086429869756
49,-13.126328936602471
50,-15.706719575294715
51,-13.252610564041515
52,-12.943872485615202
53,-12.507660991257055
54,-13.336621051702542
55,-15.44640915011661
56,-9.355748850392766
57,-11.889731891155783
58,-13.724956358035673
59,-15.768287692589196
60,-8.790475770852456
61,-15.037531054054075
62,-16.127726371359557
63,-17.64904407519386
64,-18.597518684421654
65,-13.192295602515541
66,-11.889690198998984
67,-13.508587493100398
68,-10.886938893777799
69,-11.061615805332535
70,-7.465446154980547
71,-9.626015266232162
72,-12.613550036620474
73,-6.0438222551873615
74,-8.480738712151888
75,-13.137425525472203
76,-13.39954271229781
77,-14.15367634129487
78,-17.94103711093418
79,-20.035458958382208
80,-14.95968481750374
81,-14.61315077725142
82,-9.169334917845415
83,-11.236680868473247
84,-16.456670353964004
85,-9.528202830068503
86,-12.25500665970324
87,-14.802039140581195
88,-27.19235535536828
89,-18.640352250051258
90,-14.52948452008708
91,-8.511134974710366
92,-16.82685806457741
93,-8.317076837895334
94,-6.688269637407744
95,-10.44274603481855
96,-10.737256980128844
97,-13.276456787844237
98,-9.532947455988975
99,-9.442669991419708
100,-9.032374206230804
101,-10.830292400755742
102,-13.273818006644415
103,-9.355656643885023
104,-6.280184942228082
105,-13.682849567574692
106,-9.018924783319061
107,-11.007431080895513
108,-11.235244525532055
109,-7.049135988769489
110,-10.785139755345758
111,-16.192085826666315
112,-9.608323098151633
113,-6.406893846796816
114,-17.061254383262483
115,-19.86252143566401
116,-14.297939816010619
117,-14.831306686317957
118,-12.357862438123018
119,-11.600267308549011
120,-15.55069573821651
121,-15.299113798007639
122,-5.572675644638127
123,-21.16056961432466
124,-8.092548759939097
125,-13.408454222675061
126,-9.972271865012976
127,-15.97043087474952
128,-13.479111482492604
129,-10.43395757842232
130,-6.612727604420615
131,-21.64980960287493
132,-14.513387896516345
133,-10.043121042775876
134,-11.221559692578618
135,-23.259805510047876
136,-13.087144638546121
137,-18.598359637039408
138,-9.030088989599282
139,-11.302729742651106
140,-11.432587035299989
141,-16.730512137866558
142,-16.07171725472771
143,-10.693888787740512
144,-8.607630656441035
145,-12.32396725147214
146,-12.17567635912464
147,-9.633074882721612
148,-12.6086097176705
149,-12.589895639076978
150,-14.323519406144925
151,-10.132145260854754
152,-12.760388202500359
153,-12.868139533381585
154,-9.829551654899042
155,-13.28328710727278
156,-18.847394177014767
157,-16.94855916750494
158,-10.432805668006484
159,-12.805967507645693
160,-11.558245528699475
161,-10.42793287562111
162,-17.083932631151235
163,-10.46773536772675
164,-13.283457504220316
165,-11.780917312520376
166,-21.53956696680541
167,-9.105015611903232
168,-12.908402544571135
169,-8.622930677324739
170,-17.202003547533224
171,-15.510519600403844
172,-12.290818427416491
173,-17.33297365053904
174,-7.976784176699709
175,-13.07085190252474
176,-10.403792165969994
177,-12.585481380421463
178,-10.928114450763875
179,-11.36569110679218
180,-13.334847730928809
181,-12.845176903431138
182,-12.593815154277067
183,-20.691937191571654
184,-9.903177511751235
185,-13.059876937217764
186,-9.181307283822159
187,-7.2830886219653745
188,-11.509088186660591
189,-20.354925897347453
190,-9.607950259093013
191,-17.358999552892335
192,-14.9538862521719
193,-13.327164423020392
194,-10.186694045916955
195,-13.211320805883984
196,-16.43025234058027
197,-14.725134311607887
198,-13.577148653280855
199,-18.394686134962196
200,-8.381819511682682
201,-13.572014461336693
202,-6.899997211403444
203,-8.833767154430479
204,-19.027174990492156
205,-17.15747812941838
206,-7.533236825399142
207,-17.364972906635654
208,-17.040639452029268
209,-20.02425648756053
210,-8.724323650694586
211,-7.9706829745596135
212,-24.07033132783675
213,-21.368860174161608
214,-11.60617804899514
215,-8.454096363934239
216,-20.45930669372219
217,-13.156091131589893
218,-15.594537103972007
219,-16.243697415955094
220,-6.527683106018232
221,-9.298355923384612
222,-17.298842490870594
223,-9.45619647838817
224,-22.662461348541882
225,-21.253851842642568
226,-23.26217947647319
227,-8.631539760726135
228,-17.499746452690413
229,-8.889347515935164
230,-7.142837614606084
231,-11.723378929484669
232,-13.338366124762972
233,-9.933144799570712
234,-18.344148826585705
235,-8.860219026984643
236,-23.765658488058765
237,-13.388019212297358
238,-10.111607987498568
239,-10.906059571792065
240,-10.318235612665157
241,-17.059928758883697
242,-22.36964017722413
243,-21.172536521234225
244,-18.183365039604777
245,-10.05489224059272
246,-16.203915865788133
247,-15.966068485844627
248,-16.53253875139822
249,-16.97331406342141
250,-8.328827020941114
251,-7.932845628030322
252,-11.402380151240674
253,-13.475508695164967
254,-9.822652151975387
255,-16.890449079016577
256,-10.246003007297471
257,-10.138759070399317
258,-9.771777809216234
259,-8.923804036419885
260,-12.939680640650248
261,-17.31521022606922
262,-12.954597395964432
263,-12.400965311419116
264,-9.678941260752229
265,-9.164498016855301
266,-18.182887661608007
267,-8.435846725405092
268,-13.601783470658974
269,-11.680926405472977
270,-12.381492937759244
271,-12.589475195779311
272,-13.301411700102358
273,-17.477468312004664
274,-8.929458738670776
275,-15.19136347534745
276,-12.495128586112981
277,-11.76074576495
278,-7.12220787890737
279,-14.848716977759706
280,-18.435710977223724
281,-20.407397802358457
282,-20.79003005878633
283,-7.823708860531065
284,-14.340018894546075
285,-10.52665610430121
286,-10.847523850807711
287,-9.172041684589896
288,-15.07521960173081
289,-14.37434874595682
290,-11.623119723175382
291,-16.40178227540622
292,-11.858158642284055
293,-11.897420997605611
294,-15.02775101146001
295,-11.735231606782987
296,-11.423246983816838
297,-20.617293369314442
298,-14.572879339562688
299,-17.658466986618542
300,-10.21131982932277
301,-15.186205745621779
302,-10.557990163387142
303,-8.652160308710043
304,-13.86487242160888
305,-14.318959758785638
306,-15.558124907598275
307,-11.212488265463433
308,-12.33925439127695
309,-22.994627321695766
310,-9.105558884929895
311,-11.337866897657715
312,-10.316114055153536
313,-11.704063144617537
314,-14.5780257555215
315,-12.075848133454075
316,-12.82627653327164
317,-8.764343254148729
318,-13.953904635875734
319,-13.657890932928513
320,-11.950426697532128
321,-12.244870550857243
322,-8.737386132727153
323,-18.847256849166463
324,-6.159850803220696
325,-17.979470886991002
326,-12.004176168976313
327,-13.527831943898939
328,-12.94887289045004
329,-8.990013032960663
330,-12.704208809221416
331,-7.791460784257849
332,-11.663051860447904
333,-12.429384183851532
334,-16.751993256104754
335,-7.586598955450015
336,-16.127555875639136
337,-10.538989982767696
338,-15.919233852277353
339,-14.414108292756836
340,-15.606869700533316
341,-11.09535484635698
342,-9.772295516576804
343,-25.538729858923706
344,-8.515823854352695
345,-18.295564719006844
346,-23.4634289628534
347,-6.641074891147442
348,-9.457804516005254
349,-21.44328671685329
350,-22.931270939153066
351,-8.557362896544383
352,-9.647876661882862
353,-13.642342000831896
354,-8.1318817174107
355,-14.61399849404266
356,-12.76954077615424
357,-16.14017382078639
358,-9.612760761102262
359,-8.237792346750162
360,-7.483962614739632
361,-9.380024201229132
362,-4.913702270647018
363,-15.921777244822303
364,-8.256879400359775
365,-13.488687701274017
366,-5.372974905988462
367,-11.72770938565288
368,-13.578928356046466
369,-5.816789944411413
370,-16.954007680247987
371,-13.03067111521688
372,-7.816366207978727
373,-11.039499322714585
374,-14.835639655061165
375,-13.067171527628497
376,-11.310419323311121
377,-7.986260652914908
378,-5.322268067117213
379,-13.381166779977962
380,-17.53108536873669
381,-15.637102785419414
382,-11.360355822458915
383,-18.974937603448964
384,-22.089224760658553
385,-8.24200374139397
386,-19.600335242600178
387,-13.841653978739034
388,-7.984434974849815
389,-21.042180506333914
390,-11.631180287571715
391,-16.018120026112715
392,-11.797887522408649
393,-6.481393194402252
394,-15.914522396934075
395,-17.356495893075707
396,-14.924963632702354
397,-8.349117528916489
398,-13.287633565354888
399,-8.788604950160693
400,-9.357821907864334
401,-12.844005655357499
402,-10.35431231386397
403,-8.537064574723269
404,-11.105676389731197
405,-7.973161089952119
406,-13.147411615028213
407,-11.604088675904812
408,-9.249972329633241
409,-14.005010706008948
410,-10.474356609236732
411,-9.727611629115135
412,-11.155205487348374
413,-16.495275759118496
414,-10.891789450882047
415,-12.831500962727832
416,-14.895742706978888
417,-7.212419615820363
418,-12.284851821766642
419,-9.520180110136872
420,-15.976960411172481
421,-11.2024345086994
422,-7.592261972446755
423,-12.755175650229754
424,-9.205016253312758
425,-11.06457960222492
426,-17.717498946369275
427,-23.010085843148026
428,-21.894597927308883
429,-22.64429823842402
430,-8.97548429462152
431,-10.60037320699865
432,-5.493649535419333
433,-11.116313316252738
434,-9.14756537770544
435,-17.039585723370163
436,-18.91396021418025
437,-18.202936321076145
438,-23.694028796439564
439,-15.893308369731589
440,-23.0418430980126
441,-9.999869228338927
442,-16.989837080333956
443,-14.171985534174244
444,-9.50357578143033
445,-10.231553604277742
446,-18.29429295447872
447,-9.464442840457282
448,-12.26557452193275
449,-11.187182120177301
450,-12.693094805878022
451,-10.954441676484475
452,-15.057847349685229
453,-9.226083908244096
454,-21.086833845506014
455,-15.515470764333816
456,-14.31396676773277
457,-14.062485560941605
458,-11.700903860102377
459,-11.975334696008554
460,-10.219787026514318
461,-8.885526310033992
462,-12.453411498631073
463,-13.495301696696243
464,-18.573508780421136
465,-14.085021289829596
466,-10.413928701269107
467,-10.674272367510708
468,-19.540147910747116
469,-13.491989970601008
470,-20.464118644439388
471,-16.135670560128343
472,-20.407594502624267
473,-10.364551506164586
474,-15.26049340109774
475,-4.901365311435162
476,-16.476177891932824
477,-11.708316348149108
478,-10.49842593342609
479,-19.93415066826186
480,-11.254618871227454
481,-19.891226496276246
482,-15.092515991201717
483,-17.883974361239705
484,-19.753190678572725
485,-11.043298359687206
486,-16.738982843927555
487,-10.130449662743382
488,-13.224817581043952
489,-8.23033883787962
490,-11.986648955204268
491,-10.147065370762508
492,-10.1402262075677
493,-15.294078083351785
494,-17.801319795328855
495,-16.18494892509813
496,-16.066633361819836
497,-10.706811368936803
498,-17.490099049613676
499,-5.186130478366082
500,-6.921660076354991
501,-11.929902300839116
502,-14.641791555449373
503,-13.15681856786239
504,-16.069372214785613
505,-10.333080653706915
506,-13.51536579606548
507,-11.692221018772445
508,-7.436825935008889
509,-5.595294494042711
510,-13.701290496783022
511,-9.852186747552993
512,-14.739159306663364
513,-16.111173194540306
514,-9.25864306510248
515,-16.494533637217454
516,-16.039820176585042
517,-11.054284116261663
518,-13.01882640848459
519,-9.520391851751098
520,-7.699881805995957
521,-12.434105622279006
522,-13.21361460709443
523,-8.356812512141964
524,-7.37910216912033
525,-11.47087925477933
526,-7.952012246879851
527,-8.12220230812964
528,-12.613366988808915
529,-9.962733467617568
530,-9.378637268748388
531,-13.6849867433313
532,-11.467520219053505
533,-9.846740712623019
534,-12.037974238208822
535,-14.855466669708047
536,-11.90575564264994
537,-13.213317937000957
538,-14.672195639133319
539,-10.85909885440772
540,-14.828088885962567
541,-9.359691361958744
542,-10.01872837425852
543,-17.44662894868086
544,-11.794073391564371
545,-6.866184151271175
546,-13.203783893967593
547,-10.246382861186312
548,-10.223114761697412
549,-11.335436000821668
550,-10.161061034848775
551,-14.342995308926968
552,-6.429534469917469
553,-10.682523794805606
554,-13.08241964421489
555,-10.913572111988282
556,-13.05600448546672
557,-14.84397198648229
558,-12.576684970984413
559,-12.33287606230339
560,-14.50692342747348
561,-10.844609638372665
562,-13.834884881014982
563,-12.412112483487745
564,-14.361831197743717
565,-6.652483985465731
566,-19.294995532918065
567,-11.580735813260448
568,-12.948918896015716
569,-13.051512517358981
570,-12.105143673457292
